"gw_id","park"
"1000000018",芜湖厂区
"1000000020",芜湖厂区
"1000000021",芜湖厂区
"1000000022",芜湖厂区
"1000000023",芜湖厂区
"1000000024",芜湖厂区
"1000000025",芜湖厂区
"1000000026",芜湖厂区
"1000000028",芜湖厂区
"1000000029",芜湖厂区
"1000000031",芜湖厂区
"1000000032",芜湖厂区
"1000000033",芜湖厂区
"1000000037",芜湖厂区
"1000000082",芜湖厂区
"1000000083",芜湖厂区
"1000000084",芜湖厂区
"1000000085",芜湖厂区
"1000000086",芜湖厂区
"1000000087",芜湖厂区
"1000000770",芜湖厂区
"1000000771",芜湖厂区
"1000000949",芜湖厂区
"1000001025",芜湖厂区
"1000002803",芜湖厂区
"1000002805",芜湖厂区
"1000002807",芜湖厂区
"1000002808",芜湖厂区
"1000003062",芜湖厂区
"1000003067",芜湖厂区
"1000003072",芜湖厂区
"1000003091",芜湖厂区
"1000003097",芜湖厂区
"1000003101",芜湖厂区
"1000003104",芜湖厂区
"1000003107",芜湖厂区
"1000003117",芜湖厂区
"1000003122",芜湖厂区
"1000003126",芜湖厂区
"1000003128",芜湖厂区
"1000003131",芜湖厂区
"1000005838",芜湖厂区
"1000007811",芜湖厂区
"1000010701",芜湖厂区
"1000010705",芜湖厂区
"1000010713",芜湖厂区
"1000010719",芜湖厂区
"1000011025",芜湖厂区
"1000011026",芜湖厂区
"1000011046",芜湖厂区
"1000011359",芜湖厂区
"1000011516",芜湖厂区
"1000012277",芜湖厂区
"1000012359",芜湖厂区
"1000012519",芜湖厂区
"1000012520",芜湖厂区
"1000012521",芜湖厂区
"1000012537",芜湖厂区
"1000012538",芜湖厂区
"1000012539",芜湖厂区
"1000012540",芜湖厂区
"1000012563",天津厂区
"1000012568",天津厂区
"1000012574",天津厂区
"1000012833",芜湖厂区
"1000012844",芜湖厂区
"1000013247",芜湖厂区
"1000015413",芜湖厂区
"1000015525",芜湖厂区
"1000015531",天津厂区
"1000015533",天津厂区
"1000015535",天津厂区
"1000015538",天津厂区
"1000015541",天津厂区
"1000015543",天津厂区
"1000015547",天津厂区
"1000015550",天津厂区
"1000015551",天津厂区
"1000015553",天津厂区
"1000015555",天津厂区
"1000015557",天津厂区
"1000015560",天津厂区
"1000015561",天津厂区
"1000015562",天津厂区
"1000015563",天津厂区
"1000015564",天津厂区
"1000015565",天津厂区
"1000015566",天津厂区
"1000015567",天津厂区
"1000015569",天津厂区
"1000015571",天津厂区
"1000015572",天津厂区
"1000015573",天津厂区
"1000015971",芜湖厂区
"1000016030",芜湖厂区
"1000016095",天津厂区
"1000016100",天津厂区
"1000016101",天津厂区
"1000016130",天津厂区
"1000016131",天津厂区
"1000016184",天津厂区
"1000016204",天津厂区
"1000016208",天津厂区
"1000017001",天津厂区
"1000017034",天津厂区
"1000017035",天津厂区
"1000017042",天津厂区
"1000017510",芜湖厂区
"1000017511",芜湖厂区
"1000017536",芜湖厂区
"1000017951",芜湖厂区
"1000017956",天津厂区
"1000017957",天津厂区
"1000017958",天津厂区
"1000017959",天津厂区
"1000018743",天津厂区
"1000018757",天津厂区
"1000018765",芜湖厂区
"1000019475",天津厂区
"1000019476",天津厂区
"1000019478",天津厂区
"1000019479",天津厂区
"1000020791",芜湖厂区
"1000020813",天津厂区
"1000020816",天津厂区
"1000020944",天津厂区
"1000021397",天津厂区
"1000021398",天津厂区
"1000021575",天津厂区
"1000021576",天津厂区
"1000021577",天津厂区
"1000021620",天津厂区
"1000026423",芜湖厂区
"1000026425",芜湖厂区
"1000027303",天津厂区
"1000027305",天津厂区
"1000027307",天津厂区
"1000027308",天津厂区
"1000027310",天津厂区
"1000027311",天津厂区
"1000027313",天津厂区
"1000027315",天津厂区
"1000027317",天津厂区
"1000035530",芜湖厂区
"1000035536",芜湖厂区
"1000046668",营口厂区
"1000046678",营口厂区
"1000046700",营口厂区
"1000046707",营口厂区
"1000046713",营口厂区
"1000046867",芜湖厂区
"1000046868",芜湖厂区
"1000046872",芜湖厂区
"1000046878",芜湖厂区
"1000046880",芜湖厂区
"1000046886",芜湖厂区
"1000047882",营口厂区
"1000047884",营口厂区
"1000047886",营口厂区
"1000047888",营口厂区
"1000047894",营口厂区
"1000047902",营口厂区
"1000053718",德阳厂区
"1000053739",德阳厂区
"1000053752",德阳厂区
"1000053767",德阳厂区
"1000053850",德阳厂区
"1000053882",德阳厂区
"1000053920",德阳厂区
"1000054354",德阳厂区
"1000054423",德阳厂区
"1000054443",德阳厂区
"1000170449",芜湖厂区
"1000176541",芜湖厂区
"1000176775",芜湖厂区
"1000209467",芜湖厂区
"1000218310",德阳厂区
"1000218365",德阳厂区
"1000219081",德阳厂区
"1000219111",德阳厂区
"1000219160",德阳厂区
"1000219171",德阳厂区
"1000219198",德阳厂区
"1000219214",德阳厂区
"1000219227",德阳厂区
"1000219582",德阳厂区
"1000224929",天津厂区
"1000227613",芜湖厂区
"1000227652",芜湖厂区
"1000227665",芜湖厂区
"1000255484",天津厂区
"1000258179",芜湖厂区
"1000259636",芜湖厂区
"1000269852",营口厂区
"1000270012",营口厂区
"1000276477",芜湖厂区
